Nom station;Capacité de la station;Nombre bornettes libres;Nombre total vélos disponibles;Vélos mécaniques disponibles;Vélos électriques disponibles;Actualisation de la donnée;Nom communes équipées
Parc Georges Brassens - Brancion;29;29;0;0;0;2023-04-06T13:45:46+02:00;Paris
Marseille - Beaurepaire;55;47;4;4;0;2023-04-06T13:47:48+02:00;Paris
Place Paul Eluard;19;0;19;17;2;2023-04-06T13:45:21+02:00;Choisy-le-Roi
Saint-Germain - Thenard;31;31;0;0;0;2023-04-06T13:46:33+02:00;Paris
Exelmans - Michel-Ange;33;26;6;4;2;2023-04-06T13:49:04+02:00;Paris
Arago - Glacière;27;26;1;0;1;2023-04-06T13:47:52+02:00;Paris
Pierret - Madrid;28;2;25;18;7;2023-04-06T13:48:00+02:00;Neuilly-sur-Seine
Parmentier - Abel Rabaud;52;44;3;0;3;2023-04-06T13:45:21+02:00;Paris
Aristide Briand - Gare de Bagneux;22;17;5;3;2;2023-04-06T13:48:35+02:00;Cachan
Mairie d'Ivry-sur-Seine;53;8;45;44;1;2023-04-06T13:48:41+02:00;Ivry-sur-Seine
Victoria - Place du Chatelet;22;13;5;2;3;2023-04-06T13:46:09+02:00;Paris
Reims - Raymond Pitet;37;33;2;0;2;2023-04-06T13:46:18+02:00;Paris
Seine - Flandre;19;17;2;0;2;2023-04-06T13:44:23+02:00;Paris
Saint-Vincent - Verdun;34;24;9;8;1;2023-04-06T13:49:00+02:00;Issy-les-Moulineaux
Hautpoul - Jean Jaurès;32;28;1;0;1;2023-04-06T13:47:55+02:00;Paris
Mathurins - Auber;36;7;27;16;11;2023-04-06T13:48:54+02:00;Paris
Grand Prieuré - Crussol;49;18;28;27;1;2023-04-06T13:47:50+02:00;Paris
Wilson - Métallurgie;28;17;9;2;7;2023-04-06T13:46:37+02:00;Saint-Denis
Square d'Anvers;33;31;1;0;1;2023-04-06T13:48:56+02:00;Paris
Madame de Sanzillon - Mozart;22;12;6;5;1;2023-04-06T13:48:13+02:00;Clichy
Mairie du 7ème;27;1;24;6;18;2023-04-06T13:48:07+02:00;Paris
Quai du docteur Dervaux;26;26;0;0;0;2023-01-18T09:46:16+01:00;Asnières-sur-Seine
Volontaire - Lecourbe;31;11;20;18;2;2023-04-06T13:47:13+02:00;Paris
